p_id,age,session,group,trainingslope,totalsessions,meango_corrrtnr_t,Fssrtnr_t,PBI_t,cogflex_t,corsi_max_wm_t
98,10.455556,t1,Con,-3.8343129,29,569.88733,254,-0.98054594,-0.82041299,6
98,10.455556,t2,Con,-3.8343129,29,527.18365,237.66667,0.025758089,-0.69350654,5
99,9.5861111,t0,Con,-10.457237,21,493.28787,296,0.72370988,0.1619264,6
99,9.5861111,t1,Con,-10.457237,21,371.43332,216,0.93840414,-0.038641423,6
99,9.5861111,t2,Con,-10.457237,21,629.17645,196.11765,-0.44133303,1.1141113,6
100,6.5138888,t0,Con,-6.5775156,22,791.27026,259.38461,-0.42880705,0.016954124,4
100,6.5138888,t1,Con,-6.5775156,22,487.82224,160,-0.33030874,-0.20617919,4
100,6.5138888,t2,Con,-6.5775156,22,684.44446,151.77777,0.60369974,1.2578511000000001,5
101,7.3472223,t0,Con,-6.8239555,23,500,358.30768,-0.074951552,0.26292372,7
101,7.3472223,t1,Con,-6.8239555,23,442.94287,252.61539,-0.37211457,1.2331991,6
101,7.3472223,t2,Con,-6.8239555,23,529.45654,292,-0.41266456,0.20256503,7
